Date,Closing Price (USD)
2021-01-01,0.0054048028
2021-01-02,0.0114266048
2021-01-03,0.0100456684
2021-01-04,0.0096303739
2021-01-05,0.009729501
2021-01-06,0.0103569466
2021-01-07,0.0097812809
2021-01-08,0.0097488037
2021-01-09,0.0102494202
2021-01-10,0.0099748794
2021-01-11,0.0082291743
2021-01-12,0.0081135415
2021-01-13,0.0084418915
2021-01-14,0.0091705192
2021-01-15,0.0093241651
2021-01-16,0.0092294292
2021-01-17,0.009173034
2021-01-18,0.0091346006
2021-01-19,0.0092621866
2021-01-20,0.0089794603
2021-01-21,0.0081028719
2021-01-22,0.0086071485
2021-01-23,0.0085160981
2021-01-24,0.008726821
2021-01-25,0.0083776089
2021-01-26,0.008194668
2021-01-27,0.0074315832
2021-01-28,0.0235350632
2021-01-29,0.0517932459
2021-01-30,0.0323042606
2021-01-31,0.0372874714
2021-02-01,0.033748913
2021-02-02,0.0314791877
2021-02-03,0.0361952359
2021-02-04,0.0508689103
2021-02-05,0.0469722368
2021-02-06,0.05612247
2021-02-07,0.0826052787
2021-02-08,0.0790155094
2021-02-09,0.0707010226
2021-02-10,0.0742113608
2021-02-11,0.0699101691
2021-02-12,0.0706943689
2021-02-13,0.0663360307
2021-02-14,0.058793294
2021-02-15,0.0572737893
2021-02-16,0.0537229125
2021-02-17,0.0497811672
2021-02-18,0.0619595576
2021-02-19,0.0551494951
2021-02-20,0.0526117771
2021-02-21,0.0571953976
2021-02-22,0.0533927188
2021-02-23,0.0468269618
2021-02-24,0.0560009466
2021-02-25,0.0519867438
2021-02-26,0.0502146697
2021-02-27,0.0501439853
2021-02-28,0.0489883242
2021-03-01,0.0504783622
2021-03-02,0.0504409389
2021-03-03,0.0508586996
2021-03-04,0.0504527343
2021-03-05,0.0497762863
2021-03-06,0.0515306162
2021-03-07,0.0516958369
2021-03-08,0.0591824888
2021-03-09,0.0581577003
2021-03-10,0.0563812754
2021-03-11,0.0556516177
2021-03-12,0.0554609376
2021-03-13,0.0579377936
2021-03-14,0.0594034015
2021-03-15,0.0565534935
2021-03-16,0.0587049962
2021-03-17,0.0581473878
2021-03-18,0.0577099559
2021-03-19,0.0588501218
2021-03-20,0.0600436085
2021-03-21,0.0582353822
2021-03-22,0.0552306751
2021-03-23,0.0541114704
2021-03-24,0.0524086592
2021-03-25,0.0517399755
2021-03-26,0.0536922506
2021-03-27,0.0547461382
2021-03-28,0.053484146
2021-03-29,0.0540968173
2021-03-30,0.054213746
2021-03-31,0.0535549684
2021-04-01,0.0599140442
2021-04-02,0.0574238167
2021-04-03,0.0563784774
2021-04-04,0.057309917
2021-04-05,0.0589234204
2021-04-06,0.0630599071
2021-04-07,0.0601873248
2021-04-08,0.0611705401
2021-04-09,0.0616745563
2021-04-10,0.0635717714
2021-04-11,0.0756353606
2021-04-12,0.0715775832
2021-04-13,0.0924414626
2021-04-14,0.1275778771
2021-04-15,0.1721661479
2021-04-16,0.3795198355
2021-04-17,0.3056824558
2021-04-18,0.3318115983
2021-04-19,0.416551143
2021-04-20,0.3353962068
2021-04-21,0.3079602783
2021-04-22,0.2683380608
2021-04-23,0.2391444357
2021-04-24,0.2714234993
2021-04-25,0.2479777158
2021-04-26,0.2663730697
2021-04-27,0.2719959145
2021-04-28,0.3163290205
2021-04-29,0.3077020849
2021-04-30,0.3351472656
2021-05-01,0.3851596652
2021-05-02,0.3784028647
2021-05-03,0.4364162999
2021-05-04,0.5425109667
2021-05-05,0.6416045016
2021-05-06,0.586173406
2021-05-07,0.7223204769
2021-05-08,0.6436801234
2021-05-09,0.585158958
2021-05-10,0.456113233
2021-05-11,0.5024757846
2021-05-12,0.4519935089
2021-05-13,0.4300419337
2021-05-14,0.5550034809
2021-05-15,0.5109660608
2021-05-16,0.4924255373
2021-05-17,0.4822827545
2021-05-18,0.4805031368
2021-05-19,0.3681395042
2021-05-20,0.3960534219
2021-05-21,0.3574657668
2021-05-22,0.3435665149
2021-05-23,0.3091838217
2021-05-24,0.3490122229
2021-05-25,0.3486084997
2021-05-26,0.3472869293
2021-05-27,0.33306692
2021-05-28,0.3047765834
2021-05-29,0.2985486152
2021-05-30,0.3036249146
2021-05-31,0.3245741197
2021-06-01,0.3706638416
2021-06-02,0.4176002045
2021-06-03,0.4032129346
2021-06-04,0.3835275959
2021-06-05,0.3667692215
2021-06-06,0.3686250711
2021-06-07,0.3400576346
2021-06-08,0.3308023356
2021-06-09,0.3444003494
2021-06-10,0.327612065
2021-06-11,0.3199142743
2021-06-12,0.3129034242
2021-06-13,0.3234484927
2021-06-14,0.3256762549
2021-06-15,0.3219173838
2021-06-16,0.3096635844
2021-06-17,0.3042037865
2021-06-18,0.2927498052
2021-06-19,0.2880697542
2021-06-20,0.2804987976
2021-06-21,0.1825667836
2021-06-22,0.1890369848
2021-06-23,0.235911234
2021-06-24,0.2624699903
2021-06-25,0.2368126604
2021-06-26,0.2414281431
2021-06-27,0.2522313352
2021-06-28,0.2569382015
2021-06-29,0.2638638384
2021-06-30,0.2518183412
